Skill,Ap,Element,Description,Mirages
"1,000 Meedles",3,Neutral,RANDOM: Inflict a fixed amount of neutral physical damage. Hits multiple times.,Cactrot
"1,000 Needles",4,Neutral,SINGLE: Inflict a fixed amount of neutral physical damage.,"Cactuar, Master Cactuar"
Absorb-MAG,5,,SINGLE: Inflict magic down / magic defense down. SELF: Gain magic up / magic defense up.,Vampire
Absorb-PHY,5,,SINGLE: Inflict strength down / defense down. SELF: Gain strength up / defense up.,Demivampire
Abyss,5,Dark,Inflict magical dark damage.,"Kyubi, Gleed, Shivverina, Voultr"
Accuracy+,,,PASSIVE: Slightly raises accuracy.,"Various Mirage, Mirajewel"
Accuracy++,,,PASSIVE: Raises accuracy.,"Various Mirage, Mirajewel"
Accuracy+++,,,PASSIVE: Greatly raises accuracy.,
Accursed Gaze,4,Neutral,SINGLE: Inflict neutral magical damage / slow.,Buer
Acid Fang,4,Neutral,SINGLE: Inflict neutral physical damage / defens down. TOPPLE STRENGTH: Medium,Trihyde
Acid Mist,4,Water,ALL: Inflict magical water damage / defense down.,Tiamat
Adrenaline,,,PASSIVE: Lessens the damage taken while HP is low.,"Behemoth, Kuza Beast"
Aero,3,Wind,SINGLE: Inflict magical wind damage.,"Serafie, Golem Head, Kuza Kit, Cocadrille, Flan, Mist Dragon, Wind Toad, Nightmare, Magna Roader (Yellow)"
Aerora,5,Wind,SINGLE: Inflict magical wind damage.,"Diva Serafie, Golem Head, Ahriman, Wind Toad, Magna Roader (Yellow), Einhänder"
Aeroga,7,Wind,ALL: Inflict magical wind damage.,Mirajewel
Agility+,,,PASSIVE: Slightly raises agility.,"Various Mirage, Mirajewel"
Agility++,,,PASSIVE: Raises agility.,"Various Mirage, Mirajewel"
Agility+++,,,PASSIVE: Greatly raises agility.,Mirajewel
Ailment AP Boost,,,"PASSIVE: While afflicted by status ailments, raises the amount of AP restored each turn.",Floating Eye
Ailment Regen,,,PASSIVE: Bestow regen while afflicted by a status ailment.,"Nut Eater, Holy Dragon"
All Resistances+,,,PASSIVE: Raises all element resistances (+5). ,Mirajewel
Ambush,,,PASSIVE: Ensures the initial action of a preemptive strike will result in a critical.,"Mega Nightsqual, Minotaur"
Anaphylaxis,,,PASSIVE: Raises critical chance when attacking a poisoned target.,Manticore
